0,150,1000,0,1000,0,0,0,0,-806.15,975.34
1,148.12,1001.5,1.1783,1001.4,-3.6514,3.108,2.3211,2.8822,-475.1,1179.7
2,142.92,1006.3,4.5191,1005.8,-6.6577,6.3914,4.2773,5.8827,-376.55,1216.2
3,134.88,1014.3,9.542,1013.1,-9.5728,9.5521,5.6662,8.6324,-421.8,1203.5
4,123.14,1025,15.647,1022.9,-14.124,11.812,6.4444,10.955,-572.02,1126.2
5,106.28,1037.6,22.251,1034.9,-19.792,13.07,6.6856,12.856,-687.2,1059.3
6,83.563,1050.9,28.867,1048.4,-25.567,13.427,6.4797,14.142,-609.48,986.35
7,55.76,1063.7,36.958,1062.5,-28.575,11.865,9.9507,13.804,716.17,776.47
8,30.418,1075.5,48.369,1075.9,-21.199,12.169,12.924,12.884,820.71,972.11
9,13.45,1087.9,63.031,1087.8,-12.712,12.384,16.542,10.675,923,868.62
10,4.2648,1100.8,77.602,1098.9,-5.7091,13.574,12.828,11.471,833.65,956.6
11,1.9683,1114.9,89.214,1110.8,1.1369,14.421,10.607,12.335,828.81,950.38
12,6.5706,1129.4,99.142,1123.5,8.0857,14.451,9.3784,13.065,848.87,933.79
13,18.159,1143.5,108.19,1136.8,15.071,13.684,8.8086,13.596,860.38,936.46
14,36.501,1156.6,116.92,1150.6,21.46,12.486,8.7192,13.932,765.41,987.09
15,60.754,1168.5,125.75,1164.6,26.62,11.399,8.9851,14.102,592.9,1090.3
16,89.006,1179.7,134.8,1178.7,29.351,11.04,8.1395,13.91,219.91,1210.7
17,116.05,1190.5,140.24,1192.4,22.935,10.31,2.8578,13.399,-719.1,1049.2
18,134.86,1200.3,140.55,1205.4,14.781,9.1541,-2.3097,12.627,-702.01,1060.1
19,145.59,1208.7,135.3,1217.2,6.4858,7.5003,-8.4579,10.456,-799.21,988.27
20,147.01,1213.5,123.03,1224,-2.9238,0.30001,-14.393,1.5161,-1244.1,219.06
21,143.81,1214.3,111.65,1226.8,-2.9336,1.3145,-8.1202,4.0117,59.326,1270.9
22,142.25,1215.8,108.13,1230.7,-0.73953,1.8347,2.1299,2.4809,603.66,1123.4
23,141.51,1218,116.09,1230.6,-0.73094,2.5729,13.189,-2.6189,239.54,1161.1
24,141.23,1220.5,132.94,1225.3,0.8735,1.0862,19.605,-8.8157,1252.3,62.991
25,143.73,1219.3,150.76,1216.6,4.3568,-1.8765,16.201,-6.8747,1106.6,574.39
26,149.48,1217.5,165.77,1211.9,6.9226,-1.2006,13.794,-2.1527,154.98,1265.8
27,156.76,1217.4,177.71,1212,7.1768,1.0811,9.705,2.2195,-71.745,1265.5
28,164.76,1219.7,184.43,1215.9,10.213,3.3708,3.6788,5.3109,471.58,1179.8
29,177.5,1223.9,185.29,1222.4,14.613,4.8729,-1.8081,7.6775,976.05,796.21
30,190.37,1229.5,180.85,1230.8,9.9623,6.7034,-7.3978,8.5724,-693.92,1068.1
31,196.37,1236.7,169.55,1238.2,1.3884,6.7696,-15.636,4.9704,-1016.2,751.91
32,193.26,1238.7,151.72,1236.5,-5.6942,-1.9233,-17.235,-5.4858,-1217.1,-263.98
33,186.03,1236.8,135.44,1232.3,-8.4485,-1.2297,-15.05,-2.5982,-495.68,1173.4
34,177.21,1237.9,122.42,1232.3,-9.24,3.3329,-11.34,2.5193,-114.12,1268.3
35,167.55,1243.4,112.33,1237.1,-10.056,7.8005,-8.9604,6.99,-123.46,1269.3
36,156.29,1253.2,104.33,1246,-13.629,11.138,-7.1084,10.473,-600.8,1112.2
37,138.89,1264,99.281,1257.2,-21.58,9.8161,-2.1587,11.733,-771.91,690.13
38,114.48,1272.8,99.072,1269.5,-25.551,7.9595,1.325,12.813,748.47,867.55
39,91.852,1281.2,101.68,1282.6,-18.635,9.355,4.136,13.046,669.61,1081.1
40,77.752,1291.3,108.08,1294.9,-9.2374,10.485,9.113,11.106,884.08,916.76
41,74.283,1300.6,120.8,1302.9,2.7514,6.5187,16.423,2.914,1221.8,304.53
42,80.624,1304.5,136.63,1302.4,9.0231,4.7022,13.897,0.63345,1145.8,458.71
43,93.222,1310.1,149.07,1304.7,16.482,6.2534,11.233,3.8211,783.42,988.66
44,113.76,1316.4,159.23,1309.8,24.759,5.7619,8.2032,6.2189,895.71,821.1
45,142.14,1321.3,165.09,1317.1,31.157,4.1828,3.9007,8.3147,-74.098,918.19
46,171.83,1325.5,167.41,1326.3,26.528,4.7248,0.71672,9.9165,-603.16,1123.7
47,194.67,1330.8,166.32,1336.6,19.164,5.843,-3.0327,10.592,-625.85,1111.2
48,210.1,1336.9,161.02,1347.1,11.6,6.2515,-7.7507,10.053,-686.27,1072.7
49,218.58,1343.6,154.6,1357.2,5.4081,6.9729,-5.2322,10.156,-512.33,1161.2
50,221.08,1350.8,150.32,1367.3,-0.30513,7.5473,-3.4118,10.168,-444.27,1192.3
51,218.41,1358.8,147.61,1377.6,-4.6758,8.4951,-2.0761,10.428,-314.07,1226.4
52,212.34,1368.1,146.06,1388.4,-7.2008,10.14,-1.0892,11.141,-187.1,1254.7
53,204.47,1379.2,145.34,1400,-8.3748,12.245,-0.37698,12.108,-123.78,1259.6
54,195.82,1392.6,145.22,1412.6,-8.8544,14.633,0.10522,13.192,-136.37,1268
55,186.66,1408.4,146.84,1425.5,-9.7802,16.858,5.4957,11.155,-221.6,1197.7
56,176.52,1425.8,156.64,1434.6,-10.12,17.529,13.663,7.1004,550.12,722.02
57,170.04,1441.1,173.39,1439.4,-0.54969,11.337,19.632,1.808,1249.3,186.2
58,173.94,1444.5,193.52,1434.8,5.7615,-2.9473,18.176,-8.9795,1062.9,-689.27
59,181.54,1441.6,210.64,1428.3,9.1321,-2.6255,16.001,-4.4099,278.32,1236.3
60,191.65,1440.3,225.48,1426.5,10.676,-0.098318,13.397,0.6015,96.096,1266.7
61,204.44,1440.9,237.12,1429.1,15.689,1.1528,9.9466,4.4049,483.32,1168.2
62,223.11,1442.5,245.55,1435.1,21.458,1.8759,6.9682,7.3349,404.13,1154.4
63,245.62,1445,251.09,1443.5,21.15,3.4926,4.0097,9.4912,-470.94,1183.1
64,263.79,1449.6,253.12,1453.7,15.123,5.5321,-0.23293,10.669,-537.64,1154.1
65,275.52,1455.9,249.87,1464.3,8.0289,7.014,-6.7564,10.013,-704.61,1056.5
66,278.73,1462.4,238.52,1471.7,-2.468,4.1707,-16.124,2.5035,-1136.1,542.21
67,272.89,1462,222.69,1469.3,-8.0356,-1.1885,-14.489,-2.279,-1084.7,565.22
68,264,1462.2,210.48,1469.1,-9.7353,1.5246,-10.285,1.7183,-22.325,1273.7
